date,lead_month,nino34_pred,nino34_true
1982-08,20,-0.01307718,1.1114337
1982-09,20,0.0075462465,1.3501524
1982-10,20,0.079332,1.8502227
1982-11,20,-0.069352135,1.995122
1982-12,20,0.26669312,2.20444
1983-01,20,0.3605981,2.1862085
1983-02,20,0.5696304,1.692382
1983-03,20,0.5240726,1.2534121
1983-04,20,0.4280685,1.2862107
1983-05,20,0.51718235,1.13389
1983-06,20,0.4071824,0.5883717
1983-07,20,0.4671968,-0.50766957
1983-08,20,0.36206767,-0.3339269
1983-09,20,0.27634886,-0.5024317
1983-10,20,0.045371983,-0.87823313
1983-11,20,0.48462224,-0.88178056
1983-12,20,-0.059952095,-1.1554062
1984-01,20,-0.6206318,-1.0308758
1984-02,20,-0.33611062,-0.61426705
1984-03,20,-0.4364141,-0.60810256
1984-04,20,-0.4691552,-0.6248701
1984-05,20,-0.5243601,-0.7015953
1984-06,20,-0.5303454,-1.1367972
1984-07,20,-0.5383112,-0.7372547
1984-08,20,-0.45220608,-0.58925474
1984-09,20,-0.33449852,-0.54718137
1984-10,20,-0.12851635,-0.8979495
1984-11,20,0.19770622,-1.2130367
1984-12,20,-0.21134317,-1.1400332
1985-01,20,0.37996313,-1.0661303
1985-02,20,-0.09359518,-1.3416966
1985-03,20,-0.07262057,-1.2367989
1985-04,20,-0.07231997,-1.0220283
1985-05,20,-0.1397315,-0.78969556
1985-06,20,0.007814565,-0.6494106
1985-07,20,0.038136255,-0.7084457
1985-08,20,0.034872137,-0.38509634
1985-09,20,0.1444559,-0.34076357
1985-10,20,0.13328859,-0.4675236
1985-11,20,0.29643098,-0.24995315
1985-12,20,0.26544064,-0.18377769
1986-01,20,0.249049,-0.38154462
1986-02,20,-0.1944197,-0.59403086
1986-03,20,0.28183183,-0.747484
1986-04,20,0.44270054,-0.80665785
1986-05,20,0.47250143,-0.43311933
1986-06,20,0.41478947,-0.23104097
1986-07,20,0.40937734,-0.05799706
1986-08,20,0.34053248,0.20899104
1986-09,20,0.5065005,0.49697357
1986-10,20,0.45088923,0.7040022
1986-11,20,0.47367582,0.8770689
1986-12,20,0.6792539,1.1841037
1987-01,20,0.42374974,1.3761859
1987-02,20,0.34046558,1.1995224
1987-03,20,0.47797126,1.1573845
1987-04,20,0.34370863,0.9323075
1987-05,20,0.33144742,1.0341035
1987-06,20,0.16557865,1.2854264
1987-07,20,0.14670703,1.341871
1987-08,20,-0.19406416,1.4317333
1987-09,20,-0.10015505,1.4311937
1987-10,20,-0.13323453,1.3177104
1987-11,20,0.44629562,1.2714775
1987-12,20,0.7797574,0.9478049
1988-01,20,0.41038278,0.5536789
1988-02,20,0.4691571,0.16587622
1988-03,20,0.39536434,-0.124936506
1988-04,20,0.033309665,-0.6777575
1988-05,20,-0.13190153,-1.2987353
1988-06,20,-0.20683752,-1.5988959
1988-07,20,-0.122059755,-1.5172472
1988-08,20,-0.10587881,-1.2127922
1988-09,20,0.003953627,-1.202088
1988-10,20,0.03301592,-2.1091688
1988-11,20,-0.09642033,-2.463643
1988-12,20,-0.41040057,-2.1580613
1989-01,20,-0.7217986,-1.9696684
1989-02,20,-0.93801504,-1.5008314
