Lead_Time,ACC,RMSE
1,0.933699538507089,0.3479162
2,0.9137682551350932,0.3922851
3,0.8885515680466365,0.44304657
4,0.8599015289335628,0.49236223
5,0.8231808695588595,0.54746
6,0.7808475268591034,0.5998296
7,0.7348040677396286,0.64765006
8,0.6778958489548859,0.6985767
9,0.6227070131156147,0.7412408
10,0.5737648684998065,0.77543354
11,0.5374483050675557,0.7992059
12,0.5214968788669829,0.80944276
13,0.5078653410313213,0.81869715
14,0.49264889535183476,0.82842624
15,0.46726770418048524,0.8441707
16,0.44539775669997633,0.8546757
17,0.40668976833613196,0.8732222
18,0.3570529579904485,0.89574677
19,0.3022692421399111,0.9183092
20,0.22681514190879493,0.9457531
21,0.17475118902716313,0.9616001
22,0.14188932416877423,0.96881574
23,0.1292785178680615,0.96582
24,0.12960146397770805,0.9579705
