date,lead_month,nino34_pred,nino34_true
1981-09,9,0.4568483,-0.18999338
1981-10,9,0.47871107,-0.08063007
1981-11,9,0.0014524919,-0.3368223
1981-12,9,-0.85600346,-0.45852807
1982-01,9,-0.63207406,-0.17327565
1982-02,9,-0.6672129,-0.15476483
1982-03,9,-0.25284454,-0.28201815
1982-04,9,-0.20085801,-0.04459077
1982-05,9,0.13686492,0.24024753
1982-06,9,0.46750447,0.5561064
1982-07,9,0.6968877,0.7505231
1982-08,9,0.8150451,1.1114337
1982-09,9,0.88409495,1.3501524
1982-10,9,1.1654414,1.8502227
1982-11,9,1.3695344,1.995122
1982-12,9,0.6819531,2.20444
1983-01,9,1.2079302,2.1862085
1983-02,9,1.044809,1.692382
1983-03,9,0.8198918,1.2534121
1983-04,9,0.5819257,1.2862107
1983-05,9,0.48021963,1.13389
1983-06,9,-0.013735057,0.5883717
1983-07,9,-0.2953087,-0.50766957
1983-08,9,-0.9807104,-0.3339269
1983-09,9,-1.2037417,-0.5024317
1983-10,9,-1.2348106,-0.87823313
1983-11,9,-1.213811,-0.88178056
1983-12,9,-1.3028054,-1.1554062
1984-01,9,-1.2993677,-1.0308758
1984-02,9,-1.147656,-0.61426705
1984-03,9,-0.83821553,-0.60810256
1984-04,9,-1.0241846,-0.6248701
1984-05,9,-0.9110048,-0.7015953
1984-06,9,-0.8397507,-1.1367972
1984-07,9,-0.6602601,-0.7372547
1984-08,9,-0.61251503,-0.58925474
1984-09,9,-0.6175048,-0.54718137
1984-10,9,-0.24420059,-0.8979495
1984-11,9,-0.061395787,-1.2130367
1984-12,9,-0.42211822,-1.1400332
1985-01,9,-0.89952797,-1.0661303
1985-02,9,-0.7285772,-1.3416966
1985-03,9,-0.5336521,-1.2367989
1985-04,9,-0.32703948,-1.0220283
1985-05,9,-0.19260153,-0.78969556
1985-06,9,0.25803626,-0.6494106
1985-07,9,0.13193828,-0.7084457
1985-08,9,0.51457506,-0.38509634
1985-09,9,0.2792452,-0.34076357
1985-10,9,-0.084510386,-0.4675236
1985-11,9,-0.6025078,-0.24995315
1985-12,9,-0.6263382,-0.18377769
1986-01,9,0.052034553,-0.38154462
1986-02,9,-0.024449833,-0.59403086
1986-03,9,0.34722382,-0.747484
1986-04,9,0.11757117,-0.80665785
1986-05,9,0.09649706,-0.43311933
1986-06,9,0.33218783,-0.23104097
1986-07,9,0.55796397,-0.05799706
1986-08,9,0.883383,0.20899104
1986-09,9,0.9308671,0.49697357
1986-10,9,1.0893006,0.7040022
1986-11,9,1.040086,0.8770689
1986-12,9,0.8892087,1.1841037
1987-01,9,0.4994992,1.3761859
1987-02,9,0.5614049,1.1995224
1987-03,9,0.40325522,1.1573845
1987-04,9,0.5334822,0.9323075
1987-05,9,0.4240059,1.0341035
1987-06,9,0.41049057,1.2854264
1987-07,9,0.56136715,1.341871
1987-08,9,0.38474426,1.4317333
1987-09,9,0.23217358,1.4311937
1987-10,9,-0.35700503,1.3177104
1987-11,9,-0.5651551,1.2714775
1987-12,9,-0.5128756,0.9478049
1988-01,9,-0.466723,0.5536789
1988-02,9,0.14375505,0.16587622
1988-03,9,0.50210834,-0.124936506
1988-04,9,0.06861873,-0.6777575
1988-05,9,-0.18328547,-1.2987353
1988-06,9,-0.62922686,-1.5988959
1988-07,9,-0.9338362,-1.5172472
1988-08,9,-1.2265248,-1.2127922
1988-09,9,-1.0591097,-1.202088
1988-10,9,-1.0288789,-2.1091688
1988-11,9,-1.0582527,-2.463643
1988-12,9,-1.1051608,-2.1580613
1989-01,9,-1.1429508,-1.9696684
1989-02,9,-1.32534,-1.5008314
1989-03,9,-1.2175003,-1.3050876
1989-04,9,-0.9846003,-1.2292643
1989-05,9,-0.6756473,-0.88849324
1989-06,9,-0.57657844,-0.57783914
1989-07,9,-0.5557765,-0.35367855
1989-08,9,-0.27387267,-0.32813546
1989-09,9,-0.3967445,-0.32922074
1989-10,9,-0.5728782,-0.37430194
1989-11,9,-0.02084657,-0.47015205
1989-12,9,-0.05061627,-0.18399468
1990-01,9,0.07089049,-0.029205412
1990-02,9,0.14823085,0.08151527
1990-03,9,0.15889668,-0.015873147
1990-04,9,0.06405218,-0.0519348
1990-05,9,-0.0032436836,0.087055884
1990-06,9,0.29209593,-0.02670971
1990-07,9,0.4116337,-0.012321486
1990-08,9,0.8629979,0.20224023
1990-09,9,1.1193143,0.12970482
1990-10,9,1.2445483,0.30792326
1990-11,9,1.1437755,0.22936295
1990-12,9,0.99729973,0.3622262
1991-01,9,0.86248964,0.5788064
1991-02,9,0.693364,0.29246262
1991-03,9,0.5928942,0.028525203
1991-04,9,0.46564105,0.28697547
1991-05,9,0.46467578,0.30368918
1991-06,9,0.4159624,0.5548438
1991-07,9,0.6330263,0.73140347
1991-08,9,0.6594468,0.68657184
1991-09,9,0.38816538,0.5718397
1991-10,9,0.4634244,0.89600015
1991-11,9,0.7790612,1.2210044
1991-12,9,-0.042101044,1.7840004
1992-01,9,0.6955057,1.8602579
1992-02,9,0.77157974,1.8835275
1992-03,9,1.0189126,1.4491429
1992-04,9,0.8650607,1.274605
1992-05,9,0.63401526,1.001368
1992-06,9,0.5929326,0.42808574
1992-07,9,0.5770967,0.1734245
1992-08,9,0.13008708,-0.16339391
1992-09,9,0.20109278,-0.15938084
1992-10,9,-0.35615852,-0.3308635
1992-11,9,-0.35015398,-0.23953094
1992-12,9,-0.8112833,0.01681003
1993-01,9,-0.013904775,0.0778894
1993-02,9,0.6481907,0.2418035
1993-03,9,0.1534917,0.29156154
1993-04,9,0.19495837,0.64772284
1993-05,9,0.15477498,0.79835665
1993-06,9,0.3177931,0.6502074
1993-07,9,0.3116525,0.41543475
1993-08,9,0.43022695,0.23206411
1993-09,9,-0.13686493,0.4369782
1993-10,9,-0.06927738,0.55715126
1993-11,9,-0.1881443,0.47756425
1993-12,9,-0.4974047,0.3351657
1994-01,9,-0.50267124,0.08535045
1994-02,9,-0.006585359,0.012765023
1994-03,9,0.13558246,0.10553886
1994-04,9,0.037881464,0.1680304
1994-05,9,0.18785559,0.16390485
1994-06,9,0.07179276,0.22714402
1994-07,9,0.031033574,0.050911993
1994-08,9,-0.121804744,0.42031822
1994-09,9,0.0067471,0.44870377
1994-10,9,-0.04143383,0.8563631
1994-11,9,-0.18198334,1.2689687
1994-12,9,-0.3331103,1.2309557
1995-01,9,0.26073682,0.9469509
1995-02,9,0.22079489,0.786568
1995-03,9,0.33919308,0.36670938
1995-04,9,0.15970074,0.19068332
1995-05,9,0.11842088,-0.2022085
1995-06,9,0.12609862,-0.20947815
1995-07,9,0.061862454,-0.2186245
1995-08,9,0.015582936,-0.4990602
1995-09,9,0.22147657,-0.9164165
1995-10,9,-0.22797963,-1.1405834
1995-11,9,0.08191007,-1.0922315
1995-12,9,-0.087548025,-1.1899694
1996-01,9,-0.3002215,-0.8609505
1996-02,9,-0.4064652,-0.81604254
1996-03,9,-0.061431,-0.61740154
1996-04,9,-0.06778645,-0.44130802
1996-05,9,-0.23239866,-0.5179331
1996-06,9,-0.17643201,-0.56343275
1996-07,9,-0.15131207,-0.2520531
1996-08,9,-0.009730707,-0.3659896
1996-09,9,0.5491648,-0.4168981
1996-10,9,0.2954643,-0.4288355
1996-11,9,0.19382513,-0.60995144
1996-12,9,0.29611427,-0.7515759
1997-01,9,-0.43932036,-0.5901172
1997-02,9,-0.47602665,-0.41750735
1997-03,9,-0.3705664,-0.20417763
1997-04,9,0.05795359,0.2848152
1997-05,9,0.04915666,0.66986686
1997-06,9,0.36649853,1.1475612
1997-07,9,0.7533215,1.6711944
1997-08,9,0.84739524,2.0195842
1997-09,9,0.4738287,2.298945
1997-10,9,0.72158706,2.6404357
1997-11,9,0.57333195,2.687556
1997-12,9,1.2236984,2.7479243
1998-01,9,1.2355055,2.715116
1998-02,9,1.2098507,2.2348132
1998-03,9,1.0440288,1.5979168
1998-04,9,0.70772743,0.8744729
1998-05,9,0.4669034,0.593584
1998-06,9,0.030645266,-0.8073107
1998-07,9,-0.4570119,-1.3298286
1998-08,9,-0.9022791,-1.4126738
1998-09,9,-1.000338,-1.0333148
1998-10,9,-0.9945189,-1.2995145
1998-11,9,-1.1061834,-1.5867516
1998-12,9,-1.3037776,-1.9303639
1999-01,9,-1.3634043,-1.6638982
1999-02,9,-1.2334943,-1.3088537
1999-03,9,-1.3480021,-0.9054911
1999-04,9,-1.1325786,-0.96003747
1999-05,9,-0.97079986,-0.8669181
1999-06,9,-0.9928887,-1.0293975
1999-07,9,-1.0220101,-0.9021559
1999-08,9,-0.9611541,-1.1913494
1999-09,9,-1.0634208,-1.1567566
1999-10,9,-1.1873381,-1.0723855
1999-11,9,-1.0024753,-1.6639153
1999-12,9,-1.1080359,-1.7101572
2000-01,9,-1.2914677,-1.8176467
2000-02,9,-0.7964735,-1.6098965
2000-03,9,-0.85750335,-1.0692651
2000-04,9,-0.84347445,-0.7033115
2000-05,9,-0.7277135,-0.6499248
2000-06,9,-0.643174,-0.6666217
2000-07,9,-0.6365072,-0.4673668
2000-08,9,-0.6581349,-0.3949841
2000-09,9,-0.7992014,-0.44343302
2000-10,9,-0.84200984,-0.5594826
2000-11,9,-0.47123516,-0.9251185
2000-12,9,-0.22244327,-0.8609912
2001-01,9,-0.39528394,-0.66662407
2001-02,9,-0.4845427,-0.5726149
2001-03,9,-0.49413893,-0.3982683
2001-04,9,-0.041161653,-0.2110452
2001-05,9,-0.056358945,-0.24091038
2001-06,9,0.020566843,-0.011285845
2001-07,9,0.27470925,0.10589368
2001-08,9,0.6737896,0.055456307
2001-09,9,1.0738176,-0.04714936
2001-10,9,0.87583196,-0.015698466
2001-11,9,0.6286859,-0.11168404
2001-12,9,1.0689573,-0.26719305
2002-01,9,0.6533202,0.051394578
2002-02,9,0.3948791,0.26719505
2002-03,9,0.3684979,0.14289422
2002-04,9,0.5941979,0.18940826
2002-05,9,0.4902285,0.27105874
2002-06,9,0.553746,0.6551612
2002-07,9,0.81566644,0.707224
2002-08,9,1.0708524,0.96317226
2002-09,9,0.77697366,1.1147876
2002-10,9,0.7181305,1.355659
2002-11,9,0.74957293,1.585036
2002-12,9,0.7958541,1.5178975
2003-01,9,0.897734,1.3195041
2003-02,9,0.8453835,0.89080614
2003-03,9,0.7810373,0.6439664
2003-04,9,0.6429188,0.032643393
2003-05,9,0.45711067,-0.44659165
2003-06,9,0.324508,-0.22788963
2003-07,9,0.41020706,0.15091886
2003-08,9,0.28489172,0.071487375
2003-09,9,-0.04621719,0.1787683
2003-10,9,-0.5281498,0.46218506
2003-11,9,-0.59701765,0.43719688
2003-12,9,-0.531306,0.41439086
2004-01,9,-0.9441204,0.30618894
2004-02,9,-1.1407641,0.10939963
2004-03,9,-0.5182276,0.05371552
2004-04,9,-0.17348304,0.07085941
2004-05,9,0.11160795,0.21017146
2004-06,9,0.2591123,0.09514714
2004-07,9,0.64861614,0.38242924
2004-08,9,0.48209006,0.69534624
2004-09,9,0.15876056,0.67622447
2004-10,9,0.28779113,0.72964793
2004-11,9,0.7032147,0.7178978
2004-12,9,0.811105,0.8368481
2005-01,9,0.17597972,0.597636
2005-02,9,0.47477776,0.44722137
2005-03,9,0.3925033,0.4306716
2005-04,9,0.2379733,0.28987256
2005-05,9,0.19430487,0.34200478
2005-06,9,0.113016665,0.29111254
2005-07,9,0.15827148,0.18380143
2005-08,9,-0.045736328,0.026247397
2005-09,9,0.14878641,-0.06889765
2005-10,9,-0.31897047,0.06315029
2005-11,9,-0.6544606,-0.38048694
2005-12,9,-0.50044274,-0.66858685
2006-01,9,-0.5055913,-0.8661443
2006-02,9,0.052660767,-0.6833061
2006-03,9,-0.042273022,-0.47039533
2006-04,9,-0.070400484,-0.10674768
2006-05,9,0.07941759,0.030338623
2006-06,9,-0.11400453,0.17213543
2006-07,9,0.007355304,0.17319962
2006-08,9,0.1988419,0.45576185
2006-09,9,0.39249593,0.705766
2006-10,9,0.138439,0.78577065
2006-11,9,0.20520844,1.0586779
2006-12,9,0.25195506,1.152183
2007-01,9,0.38829377,0.707932
2007-02,9,0.61073935,0.21972445
2007-03,9,0.19202445,-0.06047849
2007-04,9,0.3245831,-0.12210938
2007-05,9,0.2618635,-0.29026926
2007-06,9,0.21703082,-0.16524267
2007-07,9,-0.06364694,-0.410569
2007-08,9,-0.5357521,-0.6937064
2007-09,9,-0.5838634,-1.1256648
2007-10,9,-0.9697533,-1.6185975
2007-11,9,-1.0044117,-1.7017689
2007-12,9,-0.9028098,-1.6559267
2008-01,9,-0.81495494,-1.910063
2008-02,9,-0.81508356,-1.8319354
2008-03,9,-0.35087934,-1.185759
2008-04,9,-0.28245947,-1.0815488
2008-05,9,-0.31315333,-0.8243269
2008-06,9,-0.16054653,-0.56068003
2008-07,9,-0.10963224,-0.15023462
2008-08,9,0.015047447,-0.06191488
2008-09,9,0.06302042,-0.3276596
2008-10,9,-0.34384084,-0.40188107
2008-11,9,-0.10754701,-0.4746118
2008-12,9,-0.05168755,-0.81731945
2009-01,9,-0.3858572,-0.9551868
2009-02,9,-0.10977363,-0.726101
2009-03,9,-0.12579998,-0.5152063
2009-04,9,0.09482702,-0.24949102
2009-05,9,0.36768666,0.18443276
2009-06,9,0.17193845,0.44881988
2009-07,9,0.13656202,0.73425883
2009-08,9,0.17702529,0.70932615
2009-09,9,0.4247808,0.8400513
2009-10,9,0.39118594,1.0327027
2009-11,9,0.25057477,1.6119438
2009-12,9,0.45420182,1.7831713
2010-01,9,0.7696693,1.7174301
2010-02,9,0.9260297,1.422083
2010-03,9,0.863921,1.1797279
2010-04,9,0.6479395,0.6953907
2010-05,9,0.57144076,-0.09287469
2010-06,9,0.43446627,-0.7120451
2010-07,9,0.16017637,-1.1699638
2010-08,9,-0.36603516,-1.4109362
2010-09,9,-0.6493397,-1.6327661
2010-10,9,-0.90482426,-1.812724
2010-11,9,-1.0633014,-1.7540927
2010-12,9,-1.2707931,-1.8966883
2011-01,9,-1.160231,-1.722514
2011-02,9,-1.3360327,-1.1615238
2011-03,9,-1.3573033,-0.9178674
2011-04,9,-1.1641574,-0.6732999
2011-05,9,-1.0050162,-0.46766055
2011-06,9,-1.002161,-0.31806365
2011-07,9,-0.9556698,-0.34891438
2011-08,9,-0.75953907,-0.69733715
2011-09,9,-0.7260342,-0.7895384
2011-10,9,-0.65826315,-0.8403677
2011-11,9,-0.13821352,-1.0666716
2011-12,9,-0.31639892,-1.0342773
2012-01,9,-0.112657316,-1.0495373
2012-02,9,-0.4205946,-0.6694044
2012-03,9,-0.38357213,-0.52108234
2012-04,9,-0.29100576,-0.33814827
2012-05,9,-0.36344376,-0.15253603
2012-06,9,-0.4255815,0.09944862
2012-07,9,-0.6937679,0.50425833
2012-08,9,-0.12639876,0.7670768
2012-09,9,0.05693281,0.6044403
2012-10,9,0.034416076,0.29484797
2012-11,9,0.8340442,0.27256054
2012-12,9,0.6172079,0.06615381
2013-01,9,0.8310622,-0.23428585
2013-02,9,0.5061966,-0.18521133
2013-03,9,0.57108855,-0.0038145534
2013-04,9,0.4894993,-0.069851644
2013-05,9,0.28200933,-0.1297353
2013-06,9,0.20934747,-0.29779634
2013-07,9,-0.049927875,-0.3374186
2013-08,9,-0.29699457,-0.2649736
2013-09,9,0.31182733,-0.08157896
2013-10,9,-0.0704367,-0.21698903
2013-11,9,0.35004318,0.036828488
2013-12,9,0.27539098,-0.046363622
2014-01,9,-0.00052933954,-0.34901002
2014-02,9,-0.30592048,-0.42122638
2014-03,9,-0.50042325,-0.09196249
2014-04,9,-0.31057817,0.10959509
2014-05,9,-0.07167942,0.35447067
2014-06,9,0.28150317,0.2777331
2014-07,9,0.38101166,0.011059706
2014-08,9,0.51545465,0.095091246
2014-09,9,0.52342004,0.3981647
2014-10,9,0.61257815,0.5220374
2014-11,9,0.6777536,0.78575224
2014-12,9,1.1009439,0.78463984
2015-01,9,0.86193454,0.6138841
2015-02,9,0.881292,0.58064324
2015-03,9,0.6587315,0.61568594
2015-04,9,0.32597113,0.81380606
2015-05,9,0.2732798,1.0479879
2015-06,9,0.28514814,1.2628046
2015-07,9,0.41247156,1.5599092
2015-08,9,0.5892761,2.0203354
2015-09,9,0.757312,2.2734947
2015-10,9,0.7323604,2.485738
2015-11,9,1.2259707,2.9017422
2015-12,9,1.4609854,2.9236062
2016-01,9,1.3533324,2.7291453
2016-02,9,0.9405017,2.4106894
2016-03,9,0.66244674,1.7431997
2016-04,9,0.551767,1.156714
2016-05,9,0.38543594,0.49205956
2016-06,9,-0.009091431,0.020758282
2016-07,9,-0.23272732,-0.31462705
2016-08,9,-0.64187056,-0.49234554
2016-09,9,-0.87398875,-0.50690114
2016-10,9,-0.60247946,-0.57738894
2016-11,9,-0.5439696,-0.42741576
2016-12,9,-0.46765515,-0.35733706
2017-01,9,-0.4482452,-0.25648656
2017-02,9,-0.61195296,0.18737896
2017-03,9,-0.51946026,0.22339077
2017-04,9,-0.89744645,0.33396587
2017-05,9,-0.63617617,0.44766903
2017-06,9,-0.5242088,0.4692707
2017-07,9,-0.30759048,0.3756373
2017-08,9,-0.372856,-0.046917368
2017-09,9,-0.43780184,-0.3940028
2017-10,9,-0.291431,-0.4597148
2017-11,9,0.580685,-0.6729268
2017-12,9,0.27307487,-0.8399879
2018-01,9,0.2954541,-0.8173061
2018-02,9,-0.068046585,-0.68793994
2018-03,9,0.053801253,-0.6533603
2018-04,9,0.082503065,-0.3577602
2018-05,9,0.19617306,-0.09996039
2018-06,9,0.18039659,0.157981
2018-07,9,0.14820428,0.3608117
2018-08,9,0.4600293,0.3134942
2018-09,9,0.42812827,0.3668839
2018-10,9,0.43910995,0.90053844
2018-11,9,0.4187599,0.9509973
2018-12,9,0.13794759,0.8756431
2019-01,9,0.77951837,0.6706604
2019-02,9,0.7874035,0.7779077
2019-03,9,0.5612347,0.95952743
2019-04,9,0.47875038,0.78374505
2019-05,9,0.38583392,0.7223267
2019-06,9,0.22626588,0.69242287
