date,lead_month,nino34_pred,nino34_true
1981-08,8,0.41406068,-0.61451584
1981-09,8,0.6423684,-0.18999338
1981-10,8,0.60404116,-0.08063007
1981-11,8,-0.25109982,-0.3368223
1981-12,8,-0.30394378,-0.45852807
1982-01,8,-0.8073887,-0.17327565
1982-02,8,-0.21064337,-0.15476483
1982-03,8,-0.24356808,-0.28201815
1982-04,8,0.11379073,-0.04459077
1982-05,8,0.19900544,0.24024753
1982-06,8,0.42503545,0.5561064
1982-07,8,0.50973785,0.7505231
1982-08,8,0.68942505,1.1114337
1982-09,8,1.0656071,1.3501524
1982-10,8,1.204642,1.8502227
1982-11,8,1.0511624,1.995122
1982-12,8,1.37384,2.20444
1983-01,8,1.3407203,2.1862085
1983-02,8,1.0577518,1.692382
1983-03,8,0.7443946,1.2534121
1983-04,8,0.4888078,1.2862107
1983-05,8,0.19922167,1.13389
1983-06,8,-0.18094797,0.5883717
1983-07,8,-0.6864152,-0.50766957
1983-08,8,-0.9934696,-0.3339269
1983-09,8,-0.88851905,-0.5024317
1983-10,8,-0.9939179,-0.87823313
1983-11,8,-1.3047127,-0.88178056
1983-12,8,-1.4184358,-1.1554062
1984-01,8,-1.102736,-1.0308758
1984-02,8,-0.4864248,-0.61426705
1984-03,8,-0.56664956,-0.60810256
1984-04,8,-0.43081954,-0.6248701
1984-05,8,-0.4458403,-0.7015953
1984-06,8,-0.40642396,-1.1367972
1984-07,8,-0.25351948,-0.7372547
1984-08,8,-0.22561422,-0.58925474
1984-09,8,0.06946183,-0.54718137
1984-10,8,0.17241384,-0.8979495
1984-11,8,-0.10823978,-1.2130367
1984-12,8,-0.70465344,-1.1400332
1985-01,8,-0.6859938,-1.0661303
1985-02,8,-0.5699887,-1.3416966
1985-03,8,-0.36815837,-1.2367989
1985-04,8,-0.072330125,-1.0220283
1985-05,8,0.12119445,-0.78969556
1985-06,8,0.21542755,-0.6494106
1985-07,8,0.29594424,-0.7084457
1985-08,8,0.41285717,-0.38509634
1985-09,8,-0.053478863,-0.34076357
1985-10,8,-0.31659877,-0.4675236
1985-11,8,-0.30660933,-0.24995315
1985-12,8,0.1329966,-0.18377769
1986-01,8,-0.29770467,-0.38154462
1986-02,8,0.19963948,-0.59403086
1986-03,8,-0.0049863965,-0.747484
1986-04,8,0.022529868,-0.80665785
1986-05,8,0.121268846,-0.43311933
1986-06,8,0.33125538,-0.23104097
1986-07,8,0.56466913,-0.05799706
1986-08,8,0.7167708,0.20899104
1986-09,8,0.88659817,0.49697357
1986-10,8,0.79424405,0.7040022
1986-11,8,0.5172918,0.8770689
1986-12,8,0.43058643,1.1841037
1987-01,8,0.57629055,1.3761859
1987-02,8,0.37377632,1.1995224
1987-03,8,0.5135985,1.1573845
1987-04,8,0.45597723,0.9323075
1987-05,8,0.33109185,1.0341035
1987-06,8,0.19914488,1.2854264
1987-07,8,0.0027028562,1.341871
1987-08,8,-0.16192532,1.4317333
1987-09,8,-0.4267759,1.4311937
1987-10,8,-0.17006499,1.3177104
1987-11,8,-0.43426582,1.2714775
1987-12,8,-0.29609156,0.9478049
1988-01,8,0.43057457,0.5536789
1988-02,8,0.72229266,0.16587622
1988-03,8,0.5475864,-0.124936506
1988-04,8,0.21777534,-0.6777575
1988-05,8,0.070650965,-1.2987353
1988-06,8,-0.41830382,-1.5988959
1988-07,8,-0.5440572,-1.5172472
1988-08,8,-0.7161625,-1.2127922
1988-09,8,-0.60997283,-1.202088
1988-10,8,-0.8601101,-2.1091688
1988-11,8,-0.89471656,-2.463643
1988-12,8,-1.2034546,-2.1580613
1989-01,8,-1.4351479,-1.9696684
1989-02,8,-1.414341,-1.5008314
1989-03,8,-1.2727216,-1.3050876
1989-04,8,-0.88482696,-1.2292643
1989-05,8,-0.601884,-0.88849324
1989-06,8,-0.40064234,-0.57783914
1989-07,8,-0.05047885,-0.35367855
1989-08,8,0.08319494,-0.32813546
1989-09,8,-0.15901847,-0.32922074
1989-10,8,0.22608677,-0.37430194
1989-11,8,0.28297248,-0.47015205
1989-12,8,0.33043554,-0.18399468
1990-01,8,0.12975758,-0.029205412
1990-02,8,0.23381242,0.08151527
1990-03,8,0.1302465,-0.015873147
1990-04,8,0.043205544,-0.0519348
1990-05,8,0.15458173,0.087055884
1990-06,8,0.26246393,-0.02670971
1990-07,8,0.5080793,-0.012321486
1990-08,8,0.6881343,0.20224023
1990-09,8,0.8842526,0.12970482
1990-10,8,0.8202467,0.30792326
1990-11,8,0.6285855,0.22936295
1990-12,8,0.9212051,0.3622262
1991-01,8,0.78206784,0.5788064
1991-02,8,0.65485907,0.29246262
1991-03,8,0.40584722,0.028525203
1991-04,8,0.44430786,0.28697547
1991-05,8,0.2892388,0.30368918
1991-06,8,0.32076272,0.5548438
1991-07,8,0.50973874,0.73140347
1991-08,8,0.24771222,0.68657184
1991-09,8,0.66369563,0.5718397
1991-10,8,0.8944112,0.89600015
1991-11,8,0.5497836,1.2210044
1991-12,8,0.9822516,1.7840004
1992-01,8,0.7327803,1.8602579
1992-02,8,1.0092554,1.8835275
1992-03,8,0.7290979,1.4491429
1992-04,8,0.58760905,1.274605
1992-05,8,0.4270952,1.001368
1992-06,8,0.29111862,0.42808574
1992-07,8,0.122966945,0.1734245
1992-08,8,0.14895974,-0.16339391
1992-09,8,-0.2676894,-0.15938084
1992-10,8,-0.6464432,-0.3308635
1992-11,8,-0.74135387,-0.23953094
1992-12,8,0.039177552,0.01681003
1993-01,8,0.45613047,0.0778894
1993-02,8,0.038757645,0.2418035
1993-03,8,0.009985602,0.29156154
1993-04,8,-0.11541316,0.64772284
1993-05,8,0.023564475,0.79835665
1993-06,8,0.19530278,0.6502074
1993-07,8,0.17319167,0.41543475
1993-08,8,-0.08910879,0.23206411
1993-09,8,0.10692142,0.4369782
1993-10,8,0.1325835,0.55715126
1993-11,8,-0.12559715,0.47756425
1993-12,8,0.2167275,0.3351657
1994-01,8,0.53077656,0.08535045
1994-02,8,0.39952543,0.012765023
1994-03,8,0.3466331,0.10553886
1994-04,8,0.31063184,0.1680304
1994-05,8,0.20534164,0.16390485
1994-06,8,0.19786301,0.22714402
1994-07,8,0.19420147,0.050911993
1994-08,8,0.29364872,0.42031822
1994-09,8,0.26926717,0.44870377
1994-10,8,-0.032907624,0.8563631
1994-11,8,0.24201116,1.2689687
1994-12,8,0.15526533,1.2309557
1995-01,8,0.27411717,0.9469509
1995-02,8,0.3654175,0.786568
1995-03,8,0.28290585,0.36670938
1995-04,8,0.1843627,0.19068332
1995-05,8,0.18497011,-0.2022085
1995-06,8,0.05419584,-0.20947815
1995-07,8,0.2280987,-0.2186245
1995-08,8,0.09235369,-0.4990602
1995-09,8,-0.30577862,-0.9164165
1995-10,8,-0.17795862,-1.1405834
1995-11,8,0.19300161,-1.0922315
1995-12,8,0.33189145,-1.1899694
1996-01,8,-0.28846335,-0.8609505
1996-02,8,-0.053630374,-0.81604254
1996-03,8,-0.078118704,-0.61740154
1996-04,8,-0.37036166,-0.44130802
