Lead_Time,ACC,RMSE
1,0.9428000038651924,0.32426965
2,0.9166672214879106,0.38971815
3,0.889994062827364,0.4473565
4,0.8628343749953117,0.49464455
5,0.8304617524749776,0.5449792
6,0.7953036321057092,0.5901094
7,0.7592336521328341,0.6310696
8,0.7283616669701403,0.66386175
9,0.6936060823249185,0.6951139
10,0.6736153299217974,0.71314585
11,0.6589042077656381,0.72519535
12,0.6544565301027255,0.73216224
13,0.6411172101108984,0.7435669
14,0.6200324815946547,0.75994664
15,0.5857775915703587,0.780564
16,0.5515658804044707,0.80035794
17,0.5011610165258011,0.82650435
18,0.42803058236324054,0.8594724
19,0.3647903947996595,0.88427144
20,0.2849595996994213,0.91043925
21,0.22779531080483723,0.9274776
22,0.16958083516888306,0.93996054
23,0.14308015774284874,0.94403076
24,0.1288406180544088,0.94315517
