date,lead_month,nino34_pred,nino34_true
1981-01,1,0.14880903,-0.00042637414
1981-02,1,-0.007916589,-0.3917725
1981-03,1,-0.23517427,-0.42326793
1981-04,1,-0.6320728,-0.53357494
1981-05,1,-0.82880795,-0.49139753
1981-06,1,-0.8275574,-0.35701793
1981-07,1,-0.70276517,-0.7135362
1981-08,1,-0.78761554,-0.61451584
1981-09,1,-0.42729127,-0.18999338
1981-10,1,-0.112269685,-0.08063007
1981-11,1,0.08639755,-0.3368223
1981-12,1,-0.031167489,-0.45852807
1982-01,1,0.25647092,-0.17327565
1982-02,1,0.3595906,-0.15476483
1982-03,1,0.3608141,-0.28201815
1982-04,1,0.18698938,-0.04459077
1982-05,1,0.5159563,0.24024753
1982-06,1,0.6220508,0.5561064
1982-07,1,0.7230297,0.7505231
1982-08,1,0.95830995,1.1114337
1982-09,1,1.126205,1.3501524
1982-10,1,1.3637464,1.8502227
1982-11,1,1.5460726,1.995122
1982-12,1,1.6127996,2.20444
1983-01,1,1.5748899,2.1862085
1983-02,1,1.353758,1.692382
1983-03,1,1.0791711,1.2534121
1983-04,1,0.5404743,1.2862107
1983-05,1,0.1179649,1.13389
1983-06,1,0.16031776,0.5883717
1983-07,1,-0.275101,-0.50766957
1983-08,1,-0.5298125,-0.3339269
1983-09,1,-0.3618514,-0.5024317
1983-10,1,-0.57333475,-0.87823313
1983-11,1,-0.6695547,-0.88178056
1983-12,1,-0.6027719,-1.1554062
1984-01,1,-0.72944725,-1.0308758
1984-02,1,-0.6756902,-0.61426705
1984-03,1,-0.52274716,-0.60810256
1984-04,1,-0.57506293,-0.6248701
1984-05,1,-0.80597,-0.7015953
1984-06,1,-0.88378555,-1.1367972
1984-07,1,-0.8980448,-0.7372547
1984-08,1,-0.94657475,-0.58925474
1984-09,1,-0.77281636,-0.54718137
1984-10,1,-0.45806596,-0.8979495
1984-11,1,-0.7212753,-1.2130367
1984-12,1,-0.73357034,-1.1400332
1985-01,1,-0.7013423,-1.0661303
1985-02,1,-0.8197896,-1.3416966
1985-03,1,-1.0874732,-1.2367989
1985-04,1,-0.86988276,-1.0220283
1985-05,1,-0.590575,-0.78969556
1985-06,1,-0.5806407,-0.6494106
1985-07,1,-0.14540163,-0.7084457
1985-08,1,-0.46692985,-0.38509634
1985-09,1,-0.4341489,-0.34076357
1985-10,1,-0.16494046,-0.4675236
1985-11,1,0.07133562,-0.24995315
1985-12,1,0.12726422,-0.18377769
1986-01,1,0.33947295,-0.38154462
1986-02,1,0.06425449,-0.59403086
1986-03,1,0.11259395,-0.747484
1986-04,1,-0.042829506,-0.80665785
1986-05,1,-0.25316253,-0.43311933
1986-06,1,0.13180047,-0.23104097
1986-07,1,0.061141245,-0.05799706
1986-08,1,0.31039336,0.20899104
1986-09,1,0.41464922,0.49697357
1986-10,1,0.70276725,0.7040022
1986-11,1,0.89014745,0.8770689
1986-12,1,1.0099173,1.1841037
1987-01,1,1.4282987,1.3761859
1987-02,1,1.3082426,1.1995224
1987-03,1,1.2283329,1.1573845
1987-04,1,0.8398271,0.9323075
1987-05,1,0.55807227,1.0341035
1987-06,1,0.5924774,1.2854264
1987-07,1,0.9168363,1.341871
1987-08,1,1.4068463,1.4317333
1987-09,1,0.9057672,1.4311937
1987-10,1,1.1587847,1.3177104
1987-11,1,1.1739541,1.2714775
1987-12,1,1.021668,0.9478049
1988-01,1,0.7977286,0.5536789
1988-02,1,0.21790265,0.16587622
1988-03,1,-0.19440518,-0.124936506
1988-04,1,-0.39675015,-0.6777575
1988-05,1,-0.7241712,-1.2987353
1988-06,1,-0.8848148,-1.5988959
1988-07,1,-1.1057999,-1.5172472
1988-08,1,-1.386232,-1.2127922
1988-09,1,-1.3612264,-1.202088
1988-10,1,-1.3967279,-2.1091688
1988-11,1,-1.5096012,-2.463643
1988-12,1,-1.5404865,-2.1580613
1989-01,1,-1.5523047,-1.9696684
