Lead_Time,ACC,RMSE
1,0.9444911134150441,0.33405313
2,0.9224389590458519,0.3847042
3,0.8914542213841408,0.4485556
4,0.8533364123951,0.5144738
5,0.8133284827642507,0.5735294
6,0.7778320484548582,0.62116593
7,0.7363705303413571,0.67111725
8,0.6869784226827078,0.7191112
9,0.6406068882577991,0.7577791
10,0.6162463718826613,0.7779055
11,0.6030385913861736,0.78842205
12,0.5930802615031872,0.79472023
13,0.5861137673619301,0.7987134
14,0.5673822887139278,0.8061521
15,0.5396919155828814,0.81737095
16,0.5099976911586069,0.8291435
17,0.46751330440018246,0.8474042
18,0.4181537892330785,0.8680234
19,0.37032483228016927,0.8837446
20,0.3348256897873038,0.89444953
21,0.31237081785839116,0.9005223
22,0.30863757720745466,0.900282
23,0.31352934894847656,0.8968641
24,0.32476127963621143,0.8911806
