date,lead_month,nino34_pred,nino34_true
1982-07,19,-0.22069502,0.7505231
1982-08,19,-0.44735807,1.1114337
1982-09,19,-0.24973322,1.3501524
1982-10,19,0.18055983,1.8502227
1982-11,19,0.32190678,1.995122
1982-12,19,0.5071956,2.20444
1983-01,19,0.3976052,2.1862085
1983-02,19,0.39270702,1.692382
1983-03,19,0.25025648,1.2534121
1983-04,19,0.15112768,1.2862107
1983-05,19,0.107611306,1.13389
1983-06,19,0.051725347,0.5883717
1983-07,19,-0.22890665,-0.50766957
1983-08,19,-0.54134035,-0.3339269
1983-09,19,-0.5788662,-0.5024317
1983-10,19,0.04612204,-0.87823313
1983-11,19,-0.65871954,-0.88178056
1983-12,19,-0.76459473,-1.1554062
1984-01,19,-0.6772952,-1.0308758
1984-02,19,-0.71407187,-0.61426705
1984-03,19,-0.5608713,-0.60810256
1984-04,19,-0.3500641,-0.6248701
1984-05,19,-0.4316906,-0.7015953
1984-06,19,-0.6520669,-1.1367972
1984-07,19,-0.47733173,-0.7372547
1984-08,19,-0.40206662,-0.58925474
1984-09,19,-0.45967796,-0.54718137
1984-10,19,-0.47515512,-0.8979495
1984-11,19,-0.392586,-1.2130367
1984-12,19,-0.28373194,-1.1400332
1985-01,19,-0.044408422,-1.0661303
1985-02,19,-0.18517788,-1.3416966
1985-03,19,0.25682518,-1.2367989
1985-04,19,0.29392147,-1.0220283
1985-05,19,0.252797,-0.78969556
1985-06,19,0.088248655,-0.6494106
1985-07,19,-0.038554486,-0.7084457
1985-08,19,-0.106031984,-0.38509634
1985-09,19,-0.12860395,-0.34076357
1985-10,19,-0.029454248,-0.4675236
1985-11,19,0.16182686,-0.24995315
1985-12,19,0.40970626,-0.18377769
1986-01,19,0.445421,-0.38154462
1986-02,19,0.38298643,-0.59403086
1986-03,19,0.37625384,-0.747484
1986-04,19,0.2840455,-0.80665785
1986-05,19,0.22223534,-0.43311933
1986-06,19,0.1515551,-0.23104097
1986-07,19,0.08823746,-0.05799706
1986-08,19,0.1395613,0.20899104
1986-09,19,0.19476168,0.49697357
1986-10,19,0.34741434,0.7040022
1986-11,19,0.3404341,0.8770689
1986-12,19,0.5920654,1.1841037
1987-01,19,0.42160037,1.3761859
1987-02,19,0.31113136,1.1995224
1987-03,19,0.40322646,1.1573845
1987-04,19,0.21066545,0.9323075
1987-05,19,0.097007856,1.0341035
1987-06,19,-0.024545461,1.2854264
1987-07,19,-0.3358871,1.341871
1987-08,19,-0.49319732,1.4317333
1987-09,19,-0.56656826,1.4311937
1987-10,19,-0.54805094,1.3177104
1987-11,19,0.06418164,1.2714775
1987-12,19,-0.1394675,0.9478049
1988-01,19,0.032636303,0.5536789
1988-02,19,0.001123526,0.16587622
1988-03,19,-0.121596076,-0.124936506
1988-04,19,-0.07667631,-0.6777575
1988-05,19,-0.0007920817,-1.2987353
1988-06,19,-0.08627356,-1.5988959
1988-07,19,-0.15265448,-1.5172472
1988-08,19,-0.00069810706,-1.2127922
1988-09,19,-0.007850067,-1.202088
1988-10,19,-0.16632573,-2.1091688
1988-11,19,-0.010402894,-2.463643
1988-12,19,-0.05378268,-2.1580613
1989-01,19,-0.59176654,-1.9696684
1989-02,19,-0.8840901,-1.5008314
1989-03,19,-0.3225474,-1.3050876
1989-04,19,-0.49867523,-1.2292643
1989-05,19,-0.38450655,-0.88849324
1989-06,19,-0.18175617,-0.57783914
1989-07,19,-0.029426053,-0.35367855
1989-08,19,0.042008825,-0.32813546
1989-09,19,0.056351382,-0.32922074
1989-10,19,0.04104763,-0.37430194
1989-11,19,0.041179024,-0.47015205
1989-12,19,0.18246011,-0.18399468
1990-01,19,-0.09404627,-0.029205412
1990-02,19,0.19776818,0.08151527
1990-03,19,0.053792357,-0.015873147
1990-04,19,0.11472527,-0.0519348
1990-05,19,0.23558597,0.087055884
1990-06,19,0.16468576,-0.02670971
1990-07,19,0.10538275,-0.012321486
1990-08,19,0.3190489,0.20224023
1990-09,19,0.05777682,0.12970482
1990-10,19,0.07005607,0.30792326
1990-11,19,0.228126,0.22936295
1990-12,19,0.4054436,0.3622262
1991-01,19,0.26372647,0.5788064
1991-02,19,0.21315463,0.29246262
1991-03,19,0.3055593,0.028525203
1991-04,19,0.17288074,0.28697547
1991-05,19,0.21329494,0.30368918
1991-06,19,0.086877264,0.5548438
1991-07,19,-0.34553435,0.73140347
1991-08,19,-0.4401301,0.68657184
1991-09,19,-0.5191374,0.5718397
1991-10,19,-0.4706109,0.89600015
1991-11,19,-0.4440822,1.2210044
1991-12,19,-0.5036013,1.7840004
1992-01,19,-0.22052263,1.8602579
1992-02,19,0.08502137,1.8835275
1992-03,19,0.035486616,1.4491429
1992-04,19,-0.01886482,1.274605
1992-05,19,0.058858383,1.001368
1992-06,19,-0.03847491,0.42808574
1992-07,19,-0.25798348,0.1734245
1992-08,19,-0.099995226,-0.16339391
1992-09,19,-0.1063196,-0.15938084
1992-10,19,-0.025766486,-0.3308635
1992-11,19,0.056772973,-0.23953094
1992-12,19,-0.15480472,0.01681003
1993-01,19,-0.34853053,0.0778894
1993-02,19,-0.11099851,0.2418035
1993-03,19,-0.09265876,0.29156154
1993-04,19,-0.089837916,0.64772284
1993-05,19,-0.01249767,0.79835665
1993-06,19,0.009977639,0.6502074
1993-07,19,-0.054534603,0.41543475
1993-08,19,0.0020254694,0.23206411
1993-09,19,0.0011310292,0.4369782
1993-10,19,0.03193354,0.55715126
1993-11,19,-0.12595859,0.47756425
1993-12,19,-0.19904591,0.3351657
1994-01,19,0.51646966,0.08535045
1994-02,19,0.11560419,0.012765023
1994-03,19,0.23731862,0.10553886
1994-04,19,0.07545043,0.1680304
1994-05,19,0.08051806,0.16390485
1994-06,19,-0.038456764,0.22714402
1994-07,19,-0.100364044,0.050911993
1994-08,19,0.014759506,0.42031822
1994-09,19,0.070741,0.44870377
1994-10,19,0.06482423,0.8563631
1994-11,19,-0.022563424,1.2689687
1994-12,19,-0.27262482,1.2309557
1995-01,19,0.35919937,0.9469509
1995-02,19,0.05536811,0.786568
1995-03,19,-0.08172547,0.36670938
1995-04,19,-0.08542282,0.19068332
1995-05,19,-0.1380357,-0.2022085
1995-06,19,-0.020585557,-0.20947815
1995-07,19,-0.032959078,-0.2186245
1995-08,19,0.04314016,-0.4990602
1995-09,19,0.018656004,-0.9164165
1995-10,19,0.016137892,-1.1405834
1995-11,19,-0.09357496,-1.0922315
1995-12,19,-0.17545858,-1.1899694
1996-01,19,-0.27917597,-0.8609505
1996-02,19,-0.45773137,-0.81604254
1996-03,19,-0.29729846,-0.61740154
1996-04,19,-0.22381063,-0.44130802
1996-05,19,-0.13160852,-0.5179331
1996-06,19,-0.09105317,-0.56343275
1996-07,19,-0.082845725,-0.2520531
1996-08,19,0.004141101,-0.3659896
1996-09,19,-0.13338998,-0.4168981
1996-10,19,0.040217143,-0.4288355
1996-11,19,-0.37172878,-0.60995144
1996-12,19,0.09630259,-0.7515759
