Lead_Time,ACC,RMSE
1,0.9514282893217857,0.31334496
2,0.9248518985386949,0.38277403
3,0.8916410764695878,0.45369002
4,0.8580925154275542,0.51104176
5,0.8209622619094217,0.56399864
6,0.7801108139947084,0.61390316
7,0.7351187804200453,0.6585547
8,0.6928480194985164,0.6963097
9,0.650579494600276,0.72674006
10,0.6125837621862853,0.75194407
11,0.5811003068968766,0.77287126
12,0.5660123517191965,0.78285336
13,0.5515740002048122,0.7923541
14,0.5353090314146445,0.8027975
15,0.5192605104885563,0.81314474
16,0.4926380314823975,0.8284066
17,0.4547543907970522,0.8478244
18,0.3983577019794604,0.8717098
19,0.3217617386349929,0.89890856
20,0.24858538728289062,0.9212293
21,0.1656326047250896,0.9440458
22,0.1029081262931992,0.9590769
23,0.07254666211416348,0.9628704
24,0.07045554434534519,0.95787525
