date,lead_month,nino34_pred,nino34_true
1982-08,20,0.115668446,1.1114337
1982-09,20,-0.212651,1.3501524
1982-10,20,-0.33064604,1.8502227
1982-11,20,-0.30510002,1.995122
1982-12,20,0.27637792,2.20444
1983-01,20,0.54870135,2.1862085
1983-02,20,0.4738158,1.692382
1983-03,20,0.54982334,1.2534121
1983-04,20,0.47699526,1.2862107
1983-05,20,0.31806052,1.13389
1983-06,20,0.12941939,0.5883717
1983-07,20,-0.074767426,-0.50766957
1983-08,20,-0.41198817,-0.3339269
1983-09,20,-0.68504405,-0.5024317
1983-10,20,-0.47488353,-0.87823313
1983-11,20,0.72053945,-0.88178056
1983-12,20,-0.7995113,-1.1554062
1984-01,20,-0.7647737,-1.0308758
1984-02,20,-0.8158976,-0.61426705
1984-03,20,-0.65687567,-0.60810256
1984-04,20,-0.6431218,-0.6248701
1984-05,20,-0.72658473,-0.7015953
1984-06,20,-0.890091,-1.1367972
1984-07,20,-0.89567816,-0.7372547
1984-08,20,-0.5876462,-0.58925474
1984-09,20,-0.7198539,-0.54718137
1984-10,20,-0.83810157,-0.8979495
1984-11,20,-0.76910824,-1.2130367
1984-12,20,0.0029568172,-1.1400332
1985-01,20,-0.1648931,-1.0661303
1985-02,20,-0.07065838,-1.3416966
1985-03,20,-0.28144255,-1.2367989
1985-04,20,-0.063653484,-1.0220283
1985-05,20,-0.22692409,-0.78969556
1985-06,20,-0.15645705,-0.6494106
1985-07,20,-0.053923998,-0.7084457
1985-08,20,-0.09858094,-0.38509634
1985-09,20,0.025363792,-0.34076357
1985-10,20,0.43189168,-0.4675236
1985-11,20,0.2703277,-0.24995315
1985-12,20,0.1681919,-0.18377769
1986-01,20,0.38208058,-0.38154462
1986-02,20,0.33897126,-0.59403086
1986-03,20,0.36310053,-0.747484
1986-04,20,0.40457037,-0.80665785
1986-05,20,0.33961084,-0.43311933
1986-06,20,0.29424396,-0.23104097
1986-07,20,0.24311444,-0.05799706
1986-08,20,0.24788359,0.20899104
1986-09,20,0.45755965,0.49697357
1986-10,20,0.38203976,0.7040022
1986-11,20,0.591843,0.8770689
1986-12,20,0.52232754,1.1841037
1987-01,20,0.65196407,1.3761859
1987-02,20,0.42539516,1.1995224
1987-03,20,0.61730623,1.1573845
1987-04,20,0.6253517,0.9323075
1987-05,20,0.45790872,1.0341035
1987-06,20,0.34636912,1.2854264
1987-07,20,-0.37111703,1.341871
1987-08,20,-0.5386702,1.4317333
1987-09,20,-0.6161637,1.4311937
1987-10,20,-0.6383184,1.3177104
1987-11,20,-0.5649458,1.2714775
1987-12,20,-0.5213968,0.9478049
1988-01,20,-0.21309102,0.5536789
1988-02,20,-0.21047756,0.16587622
1988-03,20,0.10939432,-0.124936506
1988-04,20,0.15767452,-0.6777575
1988-05,20,-0.050616585,-1.2987353
1988-06,20,-0.062813476,-1.5988959
1988-07,20,0.016224429,-1.5172472
1988-08,20,0.11469251,-1.2127922
1988-09,20,-0.03156928,-1.202088
1988-10,20,-0.5306094,-2.1091688
1988-11,20,-0.33601293,-2.463643
1988-12,20,-0.1733406,-2.1580613
1989-01,20,-0.097559154,-1.9696684
1989-02,20,-0.8694811,-1.5008314
1989-03,20,-0.68521386,-1.3050876
1989-04,20,-0.50063986,-1.2292643
1989-05,20,-0.55768704,-0.88849324
1989-06,20,-0.41186553,-0.57783914
1989-07,20,-0.21853359,-0.35367855
1989-08,20,-0.041905902,-0.32813546
1989-09,20,-0.33025628,-0.32922074
1989-10,20,-0.16486233,-0.37430194
1989-11,20,-0.17330292,-0.47015205
1989-12,20,-0.015687296,-0.18399468
1990-01,20,0.44983947,-0.029205412
1990-02,20,0.43065345,0.08151527
1990-03,20,-0.048426043,-0.015873147
1990-04,20,0.05466202,-0.0519348
1990-05,20,0.26363438,0.087055884
1990-06,20,0.20840965,-0.02670971
1990-07,20,0.22855742,-0.012321486
1990-08,20,0.2214151,0.20224023
1990-09,20,0.38541403,0.12970482
1990-10,20,0.4775223,0.30792326
1990-11,20,0.46182564,0.22936295
1990-12,20,0.42092252,0.3622262
1991-01,20,0.47989634,0.5788064
1991-02,20,0.28461218,0.29246262
1991-03,20,0.58718264,0.028525203
1991-04,20,0.49481627,0.28697547
1991-05,20,0.4255647,0.30368918
1991-06,20,0.42365763,0.5548438
1991-07,20,0.06526322,0.73140347
1991-08,20,-0.43644702,0.68657184
1991-09,20,-0.6468236,0.5718397
1991-10,20,-0.71388775,0.89600015
1991-11,20,-0.5363746,1.2210044
1991-12,20,-0.4453598,1.7840004
1992-01,20,-0.46542642,1.8602579
1992-02,20,-0.2868058,1.8835275
1992-03,20,0.44694892,1.4491429
1992-04,20,0.1272512,1.274605
1992-05,20,-0.014441503,1.001368
1992-06,20,-0.07345632,0.42808574
1992-07,20,-0.10501539,0.1734245
1992-08,20,-0.09397821,-0.16339391
1992-09,20,0.0865747,-0.15938084
1992-10,20,-0.50117826,-0.3308635
1992-11,20,-0.13216865,-0.23953094
1992-12,20,-0.09293064,0.01681003
1993-01,20,-0.29124695,0.0778894
1993-02,20,-0.5235162,0.2418035
1993-03,20,0.12832558,0.29156154
1993-04,20,0.47707048,0.64772284
1993-05,20,0.164725,0.79835665
1993-06,20,-0.048726283,0.6502074
1993-07,20,-0.15838107,0.41543475
1993-08,20,0.2772581,0.23206411
1993-09,20,0.21130213,0.4369782
1993-10,20,-0.3876804,0.55715126
1993-11,20,0.07390119,0.47756425
1993-12,20,-0.04020875,0.3351657
1994-01,20,-0.9128087,0.08535045
1994-02,20,-0.77230227,0.012765023
1994-03,20,-0.5799171,0.10553886
1994-04,20,0.1570156,0.1680304
1994-05,20,0.09462593,0.16390485
1994-06,20,0.20571344,0.22714402
1994-07,20,-0.022234404,0.050911993
1994-08,20,0.18733005,0.42031822
1994-09,20,0.14760567,0.44870377
1994-10,20,0.3566339,0.8563631
1994-11,20,0.49786195,1.2689687
1994-12,20,0.1517699,1.2309557
1995-01,20,-0.85320896,0.9469509
1995-02,20,-0.6404564,0.786568
1995-03,20,-0.27346376,0.36670938
1995-04,20,-0.101213545,0.19068332
1995-05,20,-0.25120866,-0.2022085
1995-06,20,-0.17474806,-0.20947815
1995-07,20,0.06254924,-0.2186245
1995-08,20,0.3133634,-0.4990602
1995-09,20,0.371612,-0.9164165
1995-10,20,0.05507908,-1.1405834
1995-11,20,0.49910527,-1.0922315
1995-12,20,0.22713704,-1.1899694
1996-01,20,0.003122022,-0.8609505
1996-02,20,-0.14397177,-0.81604254
1996-03,20,-0.46490636,-0.61740154
1996-04,20,-0.47145563,-0.44130802
1996-05,20,-0.17592682,-0.5179331
1996-06,20,-0.070317656,-0.56343275
1996-07,20,-0.011394336,-0.2520531
1996-08,20,0.19745229,-0.3659896
1996-09,20,0.27967656,-0.4168981
1996-10,20,-0.45627752,-0.4288355
1996-11,20,0.31205836,-0.60995144
1996-12,20,0.39126042,-0.7515759
1997-01,20,0.29995987,-0.5901172
1997-02,20,0.18389091,-0.41750735
1997-03,20,0.08501765,-0.20417763
1997-04,20,0.21677667,0.2848152
1997-05,20,0.16112545,0.66986686
1997-06,20,0.19040582,1.1475612
1997-07,20,0.13832243,1.6711944
1997-08,20,0.090484254,2.0195842
1997-09,20,-0.036686745,2.298945
1997-10,20,0.22322127,2.6404357
1997-11,20,0.41579866,2.687556
1997-12,20,0.20199595,2.7479243
1998-01,20,0.010423324,2.715116
1998-02,20,0.20814826,2.2348132
1998-03,20,0.40493307,1.5979168
1998-04,20,0.4618719,0.8744729
1998-05,20,0.3874009,0.593584
1998-06,20,0.32237276,-0.8073107
1998-07,20,0.006554381,-1.3298286
1998-08,20,0.41128126,-1.4126738
1998-09,20,0.737228,-1.0333148
1998-10,20,0.82409894,-1.2995145
1998-11,20,0.5128817,-1.5867516
1998-12,20,-0.8908204,-1.9303639
1999-01,20,-0.92352885,-1.6638982
1999-02,20,-1.1082234,-1.3088537
1999-03,20,-0.9420729,-0.9054911
1999-04,20,-0.9797762,-0.96003747
1999-05,20,-0.98494154,-0.8669181
1999-06,20,-0.98821825,-1.0293975
1999-07,20,-0.9017562,-0.9021559
1999-08,20,-0.7410232,-1.1913494
1999-09,20,-0.9549519,-1.1567566
1999-10,20,-0.9281938,-1.0723855
1999-11,20,-0.8570533,-1.6639153
1999-12,20,-0.68428904,-1.7101572
2000-01,20,-0.7908813,-1.8176467
2000-02,20,-0.56047547,-1.6098965
2000-03,20,-0.62161446,-1.0692651
2000-04,20,-0.23325817,-0.7033115
2000-05,20,-0.040290385,-0.6499248
2000-06,20,0.028117258,-0.6666217
2000-07,20,0.051339928,-0.4673668
2000-08,20,-0.02712084,-0.3949841
2000-09,20,-0.11851753,-0.44343302
2000-10,20,-0.37759918,-0.5594826
2000-11,20,-0.3128207,-0.9251185
2000-12,20,-0.22107682,-0.8609912
2001-01,20,-0.07565532,-0.66662407
2001-02,20,0.086917594,-0.5726149
2001-03,20,0.16183595,-0.3982683
2001-04,20,0.057846025,-0.2110452
2001-05,20,0.23777208,-0.24091038
2001-06,20,0.31982088,-0.011285845
2001-07,20,0.35802355,0.10589368
2001-08,20,0.34508613,0.055456307
2001-09,20,0.47894236,-0.04714936
2001-10,20,0.62836355,-0.015698466
2001-11,20,0.83763814,-0.11168404
2001-12,20,0.89532876,-0.26719305
2002-01,20,0.90558755,0.051394578
2002-02,20,0.69113415,0.26719505
2002-03,20,0.6581583,0.14289422
2002-04,20,0.5763097,0.18940826
2002-05,20,0.41530824,0.27105874
2002-06,20,0.37343648,0.6551612
2002-07,20,0.2946606,0.707224
2002-08,20,0.41730607,0.96317226
2002-09,20,0.5178253,1.1147876
2002-10,20,0.016210478,1.355659
2002-11,20,0.41774586,1.585036
2002-12,20,0.7277892,1.5178975
2003-01,20,0.71290433,1.3195041
2003-02,20,0.6408139,0.89080614
2003-03,20,0.6030104,0.6439664
2003-04,20,0.5697579,0.032643393
2003-05,20,0.29237777,-0.44659165
2003-06,20,0.3798698,-0.22788963
2003-07,20,0.032719508,0.15091886
2003-08,20,-0.27766013,0.071487375
2003-09,20,-0.4774108,0.1787683
2003-10,20,-0.44167402,0.46218506
2003-11,20,0.016838951,0.43719688
2003-12,20,-0.903814,0.41439086
2004-01,20,-0.93565446,0.30618894
2004-02,20,-0.5975394,0.10939963
2004-03,20,-0.28461775,0.05371552
2004-04,20,0.019104106,0.07085941
2004-05,20,-0.19458225,0.21017146
2004-06,20,-0.016718777,0.09514714
2004-07,20,0.28442344,0.38242924
2004-08,20,0.35615718,0.69534624
2004-09,20,0.8563226,0.67622447
2004-10,20,0.722113,0.72964793
2004-11,20,-0.25497326,0.7178978
2004-12,20,-0.5814661,0.8368481
2005-01,20,-0.76289684,0.597636
2005-02,20,-0.80191684,0.44722137
2005-03,20,-0.67601275,0.4306716
2005-04,20,-0.3640855,0.28987256
2005-05,20,-0.4152345,0.34200478
2005-06,20,0.17437883,0.29111254
2005-07,20,0.12137027,0.18380143
2005-08,20,-0.10909478,0.026247397
2005-09,20,-0.4813629,-0.06889765
2005-10,20,-0.475772,0.06315029
2005-11,20,-0.37780482,-0.38048694
2005-12,20,-0.45111766,-0.66858685
2006-01,20,-0.26904115,-0.8661443
2006-02,20,-0.2076988,-0.6833061
2006-03,20,-0.43125248,-0.47039533
2006-04,20,-0.2852687,-0.10674768
2006-05,20,-0.43568844,0.030338623
2006-06,20,-0.2202135,0.17213543
2006-07,20,0.14706461,0.17319962
2006-08,20,0.23553365,0.45576185
2006-09,20,0.43595004,0.705766
2006-10,20,0.0014693519,0.78577065
2006-11,20,0.5152621,1.0586779
2006-12,20,0.45774448,1.152183
2007-01,20,0.33502114,0.707932
2007-02,20,0.33590925,0.21972445
2007-03,20,0.08088452,-0.06047849
2007-04,20,0.0043062335,-0.12210938
2007-05,20,-0.0065006986,-0.29026926
2007-06,20,0.0980072,-0.16524267
2007-07,20,0.053962965,-0.410569
2007-08,20,-0.077943586,-0.6937064
2007-09,20,0.03399599,-1.1256648
2007-10,20,0.032544706,-1.6185975
2007-11,20,0.13269575,-1.7017689
2007-12,20,0.12574899,-1.6559267
2008-01,20,-0.41065672,-1.910063
2008-02,20,-0.0026687998,-1.8319354
2008-03,20,-0.13298652,-1.185759
2008-04,20,-0.13320619,-1.0815488
2008-05,20,-0.17309138,-0.8243269
2008-06,20,-0.29060078,-0.56068003
2008-07,20,0.010689831,-0.15023462
2008-08,20,0.22480726,-0.06191488
2008-09,20,0.5429138,-0.3276596
2008-10,20,0.5605205,-0.40188107
2008-11,20,0.19685195,-0.4746118
2008-12,20,0.41722512,-0.81731945
2009-01,20,0.43756017,-0.9551868
2009-02,20,0.16565749,-0.726101
2009-03,20,0.18857498,-0.5152063
2009-04,20,0.07531958,-0.24949102
2009-05,20,0.14762905,0.18443276
2009-06,20,0.17437482,0.44881988
2009-07,20,0.2248381,0.73425883
2009-08,20,0.2262195,0.70932615
2009-09,20,0.33502376,0.8400513
2009-10,20,0.29593563,1.0327027
2009-11,20,0.32168293,1.6119438
2009-12,20,0.36742914,1.7831713
2010-01,20,0.37456197,1.7174301
2010-02,20,0.28412205,1.422083
2010-03,20,0.21198916,1.1797279
2010-04,20,0.35098064,0.6953907
2010-05,20,0.22846465,-0.09287469
2010-06,20,0.2989918,-0.7120451
2010-07,20,0.5158007,-1.1699638
2010-08,20,0.54968274,-1.4109362
2010-09,20,0.48564863,-1.6327661
2010-10,20,0.4021856,-1.812724
2010-11,20,-0.061980613,-1.7540927
2010-12,20,-0.13156545,-1.8966883
2011-01,20,-0.68413967,-1.722514
2011-02,20,-0.7368407,-1.1615238
2011-03,20,-0.02372159,-0.9178674
2011-04,20,0.43152803,-0.6732999
2011-05,20,0.22183031,-0.46766055
2011-06,20,-0.2210264,-0.31806365
2011-07,20,-0.20149693,-0.34891438
2011-08,20,0.30332294,-0.69733715
2011-09,20,-0.18978935,-0.7895384
2011-10,20,-0.11494488,-0.8403677
2011-11,20,0.2939714,-1.0666716
2011-12,20,0.42973283,-1.0342773
2012-01,20,-0.22802535,-1.0495373
2012-02,20,-0.4334609,-0.6694044
2012-03,20,-0.4187421,-0.52108234
2012-04,20,-0.1992405,-0.33814827
2012-05,20,-0.1395372,-0.15253603
2012-06,20,-0.19414985,0.09944862
2012-07,20,-0.008744178,0.50425833
2012-08,20,0.090789944,0.7670768
2012-09,20,0.3172357,0.6044403
2012-10,20,0.6790731,0.29484797
2012-11,20,0.84252477,0.27256054
2012-12,20,0.8419498,0.06615381
2013-01,20,0.81889445,-0.23428585
2013-02,20,0.3972021,-0.18521133
2013-03,20,0.39047682,-0.0038145534
2013-04,20,0.4087727,-0.069851644
2013-05,20,0.37801734,-0.1297353
2013-06,20,0.33123735,-0.29779634
2013-07,20,0.44202438,-0.3374186
2013-08,20,0.5093658,-0.2649736
2013-09,20,0.58507836,-0.08157896
2013-10,20,0.18285781,-0.21698903
2013-11,20,-0.055939894,0.036828488
2013-12,20,0.14613828,-0.046363622
2014-01,20,0.47239235,-0.34901002
2014-02,20,0.6627063,-0.42122638
2014-03,20,-0.04687447,-0.09196249
2014-04,20,-0.11413321,0.10959509
2014-05,20,-0.0990133,0.35447067
2014-06,20,-0.089063704,0.2777331
2014-07,20,0.059302963,0.011059706
2014-08,20,0.026465153,0.095091246
2014-09,20,0.048002966,0.3981647
2014-10,20,0.1407094,0.5220374
2014-11,20,0.26820973,0.78575224
2014-12,20,0.24701554,0.78463984
2015-01,20,0.15671661,0.6138841
2015-02,20,0.11067398,0.58064324
2015-03,20,0.17062974,0.61568594
2015-04,20,0.14730118,0.81380606
2015-05,20,0.1374982,1.0479879
2015-06,20,0.13547009,1.2628046
2015-07,20,-0.1590124,1.5599092
2015-08,20,-0.42968097,2.0203354
2015-09,20,-0.51713216,2.2734947
2015-10,20,-0.5469004,2.485738
2015-11,20,-0.71429396,2.9017422
2015-12,20,-0.57865727,2.9236062
2016-01,20,-0.70009875,2.7291453
2016-02,20,-0.47790974,2.4106894
2016-03,20,-0.15136918,1.7431997
2016-04,20,0.2172455,1.156714
2016-05,20,0.16219775,0.49205956
2016-06,20,-0.05484723,0.020758282
2016-07,20,-0.08854128,-0.31462705
2016-08,20,-0.30679637,-0.49234554
2016-09,20,-0.70459306,-0.50690114
2016-10,20,-0.7531826,-0.57738894
2016-11,20,-0.44160497,-0.42741576
2016-12,20,-0.9347848,-0.35733706
2017-01,20,-0.84937936,-0.25648656
2017-02,20,-0.62758946,0.18737896
2017-03,20,-0.6350097,0.22339077
2017-04,20,-0.7539582,0.33396587
2017-05,20,-0.8544027,0.44766903
2017-06,20,-0.8804685,0.4692707
2017-07,20,-0.8265465,0.3756373
2017-08,20,-0.81119496,-0.046917368
2017-09,20,-0.95229536,-0.3940028
2017-10,20,-1.0248493,-0.4597148
2017-11,20,-0.56040925,-0.6729268
2017-12,20,0.08845017,-0.8399879
2018-01,20,0.057021827,-0.8173061
2018-02,20,0.26053897,-0.68793994
2018-03,20,0.07760339,-0.6533603
2018-04,20,0.12593085,-0.3577602
2018-05,20,0.17937961,-0.09996039
2018-06,20,0.11855514,0.157981
2018-07,20,0.0443504,0.3608117
2018-08,20,0.16398157,0.3134942
2018-09,20,0.15812542,0.3668839
2018-10,20,-0.12279063,0.90053844
2018-11,20,-0.24250726,0.9509973
2018-12,20,-0.4284634,0.8756431
2019-01,20,-0.5500828,0.6706604
2019-02,20,-0.26925135,0.7779077
2019-03,20,-0.10470864,0.95952743
2019-04,20,-0.080344744,0.78374505
2019-05,20,0.13970104,0.7223267
2019-06,20,0.048461325,0.69242287
2019-07,20,-0.05015191,0.40037912
2019-08,20,-0.19206333,-0.0077492152
2019-09,20,-0.4061774,-0.050017584
2019-10,20,-0.35277027,0.5222797
2019-11,20,0.06874002,0.51524585
2019-12,20,-0.53395957,0.4739702
2020-01,20,-0.7265821,0.46733588
2020-02,20,-0.62603116,0.38709238
2020-03,20,-0.009934606,0.45690474
2020-04,20,0.15325941,0.399939
2020-05,20,0.309147,-0.2203592
2020-06,20,-0.031071747,-0.40539697
2020-07,20,0.12930827,-0.20721196
2020-08,20,0.091401614,-0.60661864
2020-09,20,0.3506951,-0.8560048
2020-10,20,0.2200128,-1.3038422
2020-11,20,0.3103454,-1.4092784
2020-12,20,-0.042505924,-1.2437057
2021-01,20,-0.13197777,-1.1000048
2021-02,20,-0.5323265,-0.92415524
2021-03,20,-0.5801807,-0.5753932
2021-04,20,-0.8839166,-0.50131005
2021-05,20,-0.9049576,-0.3722492
2021-06,20,-0.4879726,-0.14554667
2021-07,20,-0.121104114,-0.33387715
2021-08,20,0.01587978,-0.56542826
2021-09,20,0.24398397,-0.66102755
2021-10,20,0.34101036,-0.9714347
2021-11,20,0.46407914,-1.0926111
2021-12,20,0.401959,-1.1091244
2022-01,20,0.2139538,-0.9684485
2022-02,20,0.3457655,-0.7925529
2022-03,20,0.12706666,-1.009595
2022-04,20,0.34787095,-1.0429816
2022-05,20,0.2480978,-0.9824965
2022-06,20,0.23642018,-0.73800504
2022-07,20,0.15946655,-0.76780546
2022-08,20,0.18362843,-0.9785046
2022-09,20,0.23263742,-0.9653588
2022-10,20,0.43811604,-1.0463283
2022-11,20,0.4132148,-1.126392
2022-12,20,0.45027637,-0.95832556
2023-01,20,0.4421254,-0.7651944
2023-02,20,0.24021593,-0.5462874
2023-03,20,0.44674522,-0.05198312
2023-04,20,0.32876703,0.17309797
2023-05,20,0.26326898,0.46200868
2023-06,20,0.24808575,0.82665634
2023-07,20,0.29079944,1.0075645
2023-08,20,0.30766392,1.3990551
2023-09,20,0.5137717,1.642827
2023-10,20,0.71952826,1.786396
2023-11,20,0.7036011,2.0197096
2023-12,20,0.45583698,2.1299121
2024-01,20,0.3042461,1.893169
2024-02,20,0.21164018,1.6309493
2024-03,20,0.38165295,1.2504826
2024-04,20,0.4694922,0.8392442
2024-05,20,0.4048764,0.3291906
2024-06,20,0.34062943,0.16649656
2024-07,20,0.33358613,0.04689703
2024-08,20,0.36006594,-0.33223885
2024-09,20,0.4757522,-0.4196845
2024-10,20,0.5670031,-0.43972385
2024-11,20,-0.08359761,-0.24455689
2024-12,20,-0.25275677,-0.7654781
2025-01,20,-0.3479434,-0.8908549
2025-02,20,-0.42660204,-0.59078795
2025-03,20,-0.7536731,-0.15945385
2025-04,20,-0.68527424,-0.21758404
2025-05,20,-0.6022988,-0.06429955
2025-06,20,-0.48692736,-0.08050061
2025-07,20,-0.26817635,-0.2812054
2025-08,20,-0.052245654,-0.35590634
