Lead_Time,ACC,RMSE
1,0.9417868054265022,0.32473943
2,0.9137488206626141,0.39203617
3,0.8886413021525557,0.44065195
4,0.8617481983851683,0.48707667
5,0.8326852567241357,0.531293
6,0.8022060676257069,0.57132363
7,0.7692066263836574,0.60893947
8,0.7359256194606629,0.643542
9,0.7028781553111993,0.6761872
10,0.6686904804009622,0.7062237
11,0.6378264929047577,0.7308322
12,0.6157252002006668,0.74831426
13,0.5920032577632283,0.76584786
14,0.5532402060597258,0.7910066
15,0.5031653341654095,0.8206884
16,0.4354306720275404,0.8575808
17,0.36587764204347173,0.892553
18,0.29163915030270526,0.92650646
19,0.22595675851244057,0.95392126
20,0.16845893618426933,0.97410095
21,0.13268939008221228,0.9841583
22,0.1130290409520227,0.98553234
23,0.10931250584478847,0.9791778
24,0.12219605803800579,0.96817315
